                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   5.07,                 10.123,                 4.7087,                      0,                      0,                      0,                      0,                 5.5883,                  10.48,                 4.1597,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.0808,                 10.136,                 4.6255,                      0,                      0,                      0,                      0,                  5.589,                 10.488,                 4.1609,             0.00012614,             0.00012614,             0.00012614
                      3,                 4.9983,                 8.6028,                 4.3928,                      0,                      0,                      0,                      0,                 5.5904,                   10.5,                 4.1629,             0.00017644,             0.00017644,             0.00017644
                      4,                 4.9187,                 9.6119,                 4.2964,                      0,                      0,                      0,                      0,                 5.5927,                 10.508,                 4.1662,              0.0002109,              0.0002109,              0.0002109
                      5,                  4.397,                 7.9059,                 4.2544,                      0,                      0,                      0,                      0,                 5.5949,                 10.507,                 4.1694,             0.00022952,             0.00022952,             0.00022952
                      6,                 4.4814,                 8.3875,                 4.2284,                      0,                      0,                      0,                      0,                 5.5978,                 10.496,                 4.1741,              0.0002323,              0.0002323,              0.0002323
                      7,                 4.4289,                 7.5945,                 4.1435,                      0,                      0,                      0,                      0,                 5.6009,                 10.477,                 4.1792,             0.00021924,             0.00021924,             0.00021924
                      8,                 3.8651,                 7.4758,                 4.2182,                      0,                      0,                      0,                      0,                 5.6041,                  10.46,                 4.1847,             0.00019034,             0.00019034,             0.00019034
                      9,                 4.0962,                 7.2998,                 4.2399,                      0,                      0,                      0,                      0,                 5.6075,                  10.45,                  4.191,              0.0001456,              0.0001456,              0.0001456
                     10,                  4.073,                 7.3877,                 4.0766,                      0,                      0,                      0,                      0,                 5.6106,                 10.442,                 4.1967,              8.502e-05,              8.502e-05,              8.502e-05
