                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0454,                 10.992,                 4.1574,                      0,                      0,                      0,                      0,                   6.27,                 6.5245,                 4.1542,                 0.0003,                 0.0003,                 0.0003
                      2,                 5.4161,                 7.1505,                  3.802,                      0,                      0,                      0,                      0,                 6.2689,                 6.1228,                 4.1551,             0.00058931,             0.00058931,             0.00058931
                      3,                 4.1518,                 4.4467,                 3.1216,                      0,                      0,                      0,                      0,                 6.2965,                 5.7288,                 4.3847,             0.00084694,             0.00084694,             0.00084694
                      4,                 3.7787,                 3.7634,                 2.5871,                      0,                      0,                      0,                      0,                  6.107,                 5.1924,                 3.8146,              0.0010729,              0.0010729,              0.0010729
                      5,                 3.3916,                 3.1369,                 2.3224,                      0,                      0,                      0,                      0,                 5.9712,                 4.9061,                 3.6618,              0.0012672,              0.0012672,              0.0012672
                      6,                  3.144,                 2.6256,                 2.1344,                0.00148,                0.08883,                0.01272,                0.00274,                 4.8686,                 4.0804,                 3.1321,              0.0014297,              0.0014297,              0.0014297
                      7,                 2.8982,                 2.3935,                 2.0266,                0.17525,                0.16244,                0.07937,                0.02445,                 3.2188,                 2.9198,                 2.4125,               0.001406,               0.001406,               0.001406
                      8,                 2.7568,                 2.1589,                 2.0235,                0.34071,                0.32234,                0.24644,                0.08421,                 2.7313,                 2.1263,                 2.0424,               0.001406,               0.001406,               0.001406
                      9,                 2.6224,                 1.9742,                 1.8684,                0.64025,                0.53553,                0.55476,                0.19107,                 2.3416,                 1.6039,                 1.9009,               0.001307,               0.001307,               0.001307
                     10,                 2.5156,                 1.8785,                 1.8744,                0.53596,                0.50508,                0.51372,                0.17107,                 2.3452,                 1.6229,                 1.8135,               0.001208,               0.001208,               0.001208
                     11,                 2.3358,                 2.0772,                 1.9224,                0.59762,                0.51523,                0.54045,                0.24029,                  2.128,                 1.6059,                 1.6886,               0.001109,               0.001109,               0.001109
                     12,                 2.2184,                 1.9261,                 1.7685,                 0.7076,                0.56345,                0.62724,                0.25969,                 2.0527,                 1.5482,                 1.6482,                0.00101,                0.00101,                0.00101
                     13,                 2.1097,                 1.7119,                 1.7419,                0.66252,                0.56599,                0.62931,                0.25572,                 2.0478,                 1.4363,                 1.5685,               0.000911,               0.000911,               0.000911
                     14,                 2.0357,                 1.6659,                 1.6563,                0.72776,                0.60406,                0.66515,                 0.3032,                 1.9449,                  1.315,                 1.5241,               0.000812,               0.000812,               0.000812
                     15,                 1.9732,                 1.5823,                 1.6035,                0.68211,                0.62086,                0.66354,                0.30996,                 1.8954,                  1.351,                 1.4751,               0.000713,               0.000713,               0.000713
                     16,                 1.9435,                 1.5401,                 1.5945,                0.71635,                0.62816,                0.68659,                0.31547,                 1.8851,                 1.3557,                 1.4694,               0.000614,               0.000614,               0.000614
                     17,                  1.852,                 1.4933,                 1.5396,                0.77782,                0.61168,                0.70845,                0.33041,                 1.8426,                  1.301,                 1.4616,               0.000515,               0.000515,               0.000515
                     18,                 1.7882,                 1.3702,                 1.5206,                0.80047,                0.63452,                0.73228,                0.34958,                 1.8379,                 1.2861,                 1.4342,               0.000416,               0.000416,               0.000416
                     19,                 1.7643,                 1.3124,                 1.4208,                0.81081,                 0.6635,                0.75542,                 0.3764,                  1.761,                 1.1852,                 1.3876,               0.000317,               0.000317,               0.000317
                     20,                 1.7182,                 1.2563,                 1.4272,                0.84033,                0.66787,                 0.7746,                0.38718,                 1.7346,                 1.1567,                 1.3633,               0.000218,               0.000218,               0.000218
